index,burst,B,S,C,Y
0,0,0.00396772,0,-8.85854e-15,0.0215822
0,0,0.00321912,0,-8.9361e-15,0.0241211
0,0,0.00374189,0,-9.01365e-15,-0.00258642
0,0,0.00457398,0,-9.09121e-15,-0.0363681
0,0,0.00456326,0,-9.16876e-15,-0.00801727
0,0,0.00417926,0,-9.24632e-15,-0.00718206
0,0,0.0041153,0,-9.32387e-15,-0.00556679
0,0,0.00418293,0,-9.40143e-15,0.00875622
0,0,0.0059488,0,-9.47898e-15,0.00788501
0,0,0.0059795,0,-9.55654e-15,0.0222099
0,0,0.0041773,0,-9.63409e-15,-0.0116852
0,0,0.00301807,0,-9.71165e-15,-0.02228
0,0,0.00171618,0,-9.7892e-15,0.0457815
0,0,0.00140593,0,-9.86676e-15,0.0264891
0,0,0.00246671,0,-9.94431e-15,0.0192761
0,0,0.00270309,0,-1.00219e-14,0.0209266
0,0,0.00149502,0,-1.00994e-14,-0.0200813
0,0,0.00152436,0,-1.0177e-14,-0.0272528
0,0,0.00112698,0,-1.02545e-14,-0.00934719
0,0,0.000209934,0,-1.03321e-14,-0.0223027
0,0,0.00068079,0,-1.04096e-14,0.00328887
0,0,-0.000334361,0,-1.04872e-14,-0.00902044
0,0,-0.00062852,0,-1.05648e-14,0.0308221
0,0,-0.00112439,0,-1.06423e-14,-0.00402139
0,0,-0.000696987,0,-1.07199e-14,-0.017829
0,0,-0.000384152,0,-1.07974e-14,0.00936019
0,0,0.000274092,0,-1.08836e-14,-0.0241833
0,0,0.000495497,0,-1.09525e-14,0.0377129
0,0,0.000695637,0,-1.10042e-14,-0.0193473
0,0,-0.000208856,0,-1.10042e-14,-0.011697
0,0,-0.000849314,0,-1.10042e-14,0.0158572
0,0,4.48784e-05,0,-1.10042e-14,-0.011065
0,0,-0.00215165,0,-1.10042e-14,-0.0120864
0,0,-0.00174996,0,-1.10042e-14,0.0112299
0,0,-0.00159168,0,-1.10042e-14,0.00572743
0,0,-0.00250579,0,-1.10042e-14,0.0183728
0,0,-0.00073079,0,-1.10042e-14,0.00100805
0,0,0.000491591,0,-1.10042e-14,-0.0210033
0,0,0.00120993,0,-1.10042e-14,-0.0177024
0,0,0.000954779,0,-1.10042e-14,0.0106317
0,0,0.000436163,0,-1.10042e-14,-0.00431713
0,0,-0.000108292,0,-1.10042e-14,-0.0111052
0,0,0.000382461,0,-1.10042e-14,-0.0104804
0,0,0.00209105,0,-1.10042e-14,-0.00640423
0,0,0.00178591,0,-1.10042e-14,-0.0235969
0,0,0.0011199,0,-1.10042e-14,0.00301026
0,0,0.00177728,0,-1.10042e-14,0.0125661
0,0,0.00119658,0,-1.10042e-14,-0.0177007
0,0,-0.000428809,0,-1.10042e-14,0.000655741
0,0,-0.00136993,0,-1.10042e-14,-0.0052054
0,0,-0.000687259,0,-1.10042e-14,-0.0467588
0,0,-9.70738e-05,0,-1.10042e-14,0.0143764
0,0,0.000369114,0,-1.10042e-14,0.0145626
0,0,0.000506086,0,-1.10042e-14,0.0226647
0,0,0.00127841,0,-1.10042e-14,0.0311377
0,0,0.0014389,0,-1.10042e-14,0.00897316
0,0,0.0023372,0,-1.10042e-14,0.0170519
0,0,0.00182175,0,-1.10042e-14,0.00438729
0,0,0.000407965,0,-1.10042e-14,-0.00468672
0,0,0.00167072,0,-1.10042e-14,-0.00860776
0,0,0.0012925,0,-1.10042e-14,-0.0345176
0,0,0.00161816,0,-1.10042e-14,0.0114979
0,0,0.00119584,0,-1.10042e-14,0.010753
0,0,0.00239134,0,-1.10042e-14,0.0099657
0,0,0.00156329,0,-1.10042e-14,-0.0193631
0,0,0.00367302,0,-1.10042e-14,-0.0137816
0,0,0.00370353,0,-1.10042e-14,-0.0308305
0,0,0.00391757,0,-1.10042e-14,-0.00414903
0,0,0.00333698,0,-1.10042e-14,-0.000444928
0,0,0.00237072,0,-1.10042e-14,0.00380558
0,0,0.00211386,0,-1.10042e-14,-0.0283501
0,0,0.00216201,0,-1.10042e-14,-0.00985939
0,0,0.00311567,0,-1.10042e-14,-0.0396899
0,0,0.00223315,0,-1.10042e-14,0.0209331
0,0,0.000112866,0,-1.10042e-14,0.00576008
0,0,-0.00131082,0,-1.10042e-14,0.0186191
0,0,-0.00223214,0,-1.10042e-14,0.0370692
0,0,-0.00128107,0,-1.10042e-14,0.0160433
0,0,-0.00152329,0,-1.10042e-14,0.0113224
0,0,-0.00140187,0,-1.10042e-14,-0.0355459
0,0,5.40018e-05,0,-1.10042e-14,-0.0167306
0,0,0.000520991,0,-1.10042e-14,-0.0119573
0,0,0.000808976,0,-1.10042e-14,0.0130194
0,0,-0.00126721,0,-1.10042e-14,0.00933997
0,0,-0.00289791,0,-1.10042e-14,-0.00847891
0,0,-0.00175202,0,-1.10042e-14,-0.0345464
0,0,-0.00179048,0,-1.10042e-14,-0.0513944
0,0,-0.000176766,0,-1.10042e-14,-0.0211051
0,0,-0.000367001,0,-1.10042e-14,-0.018634
0,0,0.000249902,0,-1.10042e-14,0.0116891
0,0,0.000326973,0,-1.10042e-14,0.0117499
0,0,0.000232438,0,-1.10042e-14,-0.0159303
0,0,0.000268951,0,-1.10042e-14,-0.0218437
0,0,0.00108876,0,-1.10042e-14,0.0130571
0,0,0.00210496,0,-1.10042e-14,-0.00198033
0,0,0.0016852,0,-1.10042e-14,0.00619745
0,0,0.00123709,0,-1.10042e-14,0.0152744
0,0,0.000883734,0,-1.10042e-14,0.00314071
0,0,0.00142504,0,-1.10042e-14,0.0152889
0,0,0.00266865,0,-1.10042e-14,-0.00177367
0,0,0.00351766,0,-1.10042e-14,-0.00168104
0,0,0.00249587,0,-1.10042e-14,-0.0134101
0,0,0.00103127,0,-1.10042e-14,0.00776318
0,0,-0.00108873,0,-1.10042e-14,0.0116677
0,0,-0.000207163,0,-1.10042e-14,0.0313961
0,0,-0.000419268,0,-1.10042e-14,0.0173053
0,0,-0.000624198,0,-1.10042e-14,0.0162364
